journal,issn,doi,url
International Political Sociology,1749-5679,10.1093/ips/oly008,https://doi.org/10.1093/ips/oly008
European Journal of International Law,0938-5428,10.1093/ejil/chw011,https://doi.org/10.1093/ejil/chw011
Public Opinion Quarterly,0033-362X,10.1093/poq/nft022,https://doi.org/10.1093/poq/nft022
International Political Sociology,1749-5679,10.1111/j.1749-5687.2012.00148.x,https://doi.org/10.1111/j.1749-5687.2012.00148.x
Policy and Society,1449-4035,10.1093/polsoc/puad031,https://doi.org/10.1093/polsoc/puad031
European Journal of International Law,0938-5428,10.1093/ejil/chr090,https://doi.org/10.1093/ejil/chr090
Policy and Society,1449-4035,10.1016/j.polsoc.2009.11.004,https://doi.org/10.1016/j.polsoc.2009.11.004
European Journal of International Law,0938-5428,10.1093/ejil/chx010,https://doi.org/10.1093/ejil/chx010
International Journal of Public Opinion Research,0954-2892,10.1093/ijpor/edt037,https://doi.org/10.1093/ijpor/edt037
International Affairs,0020-5850,10.1111/1468-2346.12149,https://doi.org/10.1111/1468-2346.12149
International Affairs,0020-5850,10.1093/ia/iix090,https://doi.org/10.1093/ia/iix090
International Affairs,0020-5850,10.1093/ia/iiac291,https://doi.org/10.1093/ia/iiac291
International Studies Quarterly,0020-8833,10.1111/isqu.12204,https://doi.org/10.1111/isqu.12204
Human Rights Law Review,1461-7781,10.1093/hrlr/ngaa025,https://doi.org/10.1093/hrlr/ngaa025
International Political Sociology,1749-5679,10.1111/j.1749-5687.2010.00107_3.x,https://doi.org/10.1111/j.1749-5687.2010.00107_3.x
International Studies Quarterly,0020-8833,10.1093/isq/sqac013,https://doi.org/10.1093/isq/sqac013
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjv015,https://doi.org/10.1093/publius/pjv015
Political Science Quarterly,0032-3195,10.1093/psquar/qqae066,https://doi.org/10.1093/psquar/qqae066
Socio-Economic Review,1475-1461,10.1093/ser/mwx001,https://doi.org/10.1093/ser/mwx001
Socio-Economic Review,1475-1461,10.1093/ser/mwq018,https://doi.org/10.1093/ser/mwq018
Science and Public Policy,0302-3427,10.1093/scipol/scz024,https://doi.org/10.1093/scipol/scz024
International Studies Perspectives,1528-3577,10.1111/j.1528-3585.2011.00448.x,https://doi.org/10.1111/j.1528-3585.2011.00448.x
